regulador	regulon	especiaA	especieB	V5	V6	FT
Solyc04g018110	Sopen04g009340	tomato	TomatoPennelli	27550	1	none
Sopen07g025880	Solyc07g052240	TomatoPennelli	tomato	27563	2	none
Solyc02g088390	Sopen02g033070	tomato	TomatoPennelli	27598	2	none
Sopen09g035420	Solyc09g092520	TomatoPennelli	tomato	27631	2	none
Sopen08g003930	Solyc12g056220	TomatoPennelli	tomato	27634	1	none
Solyc12g056220	Sopen08g029490	tomato	TomatoPennelli	27634	1	none
Solyc12g056220	Sopen12g028730	tomato	TomatoPennelli	27634	1	none
Sopen06g003180	Solyc06g008330	TomatoPennelli	tomato	27643	1	none
Sopen01g016890	Solyc01g028830	TomatoPennelli	tomato	27717	1	none
Sopen05g014790	Solyc05g018130	TomatoPennelli	tomato	27733	1	none
Solyc09g089580	Sopen09g032520	tomato	TomatoPennelli	27733	1	none
