regulador	regulon	especiaA	especieB	V5	V6	FT
Sopen06g009320	Solyc06g030470	TomatoPennelli	tomato	24601	1	none
Solyc10g086280	Sopen10g035670	tomato	TomatoPennelli	24960	1	none
Sopen01g002490	Solyc01g006510	TomatoPennelli	tomato	25275	2	none
Solyc12g015910	Sopen02g026450	tomato	TomatoPennelli	25602	1	none
Solyc02g086870	Sopen02g031640	tomato	TomatoPennelli	25634	1	none
Sopen01g033690	Solyc01g086690	TomatoPennelli	tomato	25726	1	none
Solyc11g071840	Sopen11g029510	tomato	TomatoPennelli	25881	1	none
Sopen12g022760	Solyc12g044440	TomatoPennelli	tomato	26003	1	none
Solyc10g007440	Sopen10g003390	tomato	TomatoPennelli	26003	1	none
Solyc10g008460	Sopen10g004280	tomato	TomatoPennelli	26174	1	none
Sopen09g031850	Solyc09g082980	TomatoPennelli	tomato	26267	1	none
Sopen08g003420	Solyc08g007460	TomatoPennelli	tomato	26344	1	none
Sopen07g029550	Solyc07g056200	TomatoPennelli	tomato	26471	1	none
Sopen11g002440	Solyc11g006540	TomatoPennelli	tomato	26494	1	none
Sopen08g024080	Solyc08g075450	TomatoPennelli	tomato	26585	1	none
Solyc10g012080	Sopen10g005820	tomato	TomatoPennelli	26597	1	none
Sopen03g027850	Solyc03g097110	TomatoPennelli	tomato	26601	1	none
Solyc07g054830	Sopen07g028740	tomato	TomatoPennelli	26637	1	none
Solyc09g074320	Sopen09g029160	tomato	TomatoPennelli	26647	1	none
Solyc11g017000	Sopen11g009000	tomato	TomatoPennelli	26728	1	none
Solyc08g075540	Sopen08g001570	tomato	TomatoPennelli	26788	0	none
Solyc09g011300	Sopen09g006020	tomato	TomatoPennelli	26942	1	none
Solyc11g028010	Sopen11g012480	tomato	TomatoPennelli	26960	1	none
Sopen03g023020	Solyc03g083270	TomatoPennelli	tomato	26990	1	none
Sopen10g034470	Solyc10g085010	TomatoPennelli	tomato	27015	1	none
Solyc10g085010	Sopen10g034470	tomato	TomatoPennelli	27015	1	none
Sopen06g016490	Solyc06g050810	TomatoPennelli	tomato	27034	2	none
Solyc01g067800	Sopen01g029760	tomato	TomatoPennelli	27040	1	none
Sopen08g022460	Solyc08g068770	TomatoPennelli	tomato	27086	1	none
Sopen08g022520	Solyc08g068770	TomatoPennelli	tomato	27086	1	none
Sopen08g022500	Solyc08g068770	TomatoPennelli	tomato	27086	1	none
Solyc08g068770	Sopen08g022490	tomato	TomatoPennelli	27086	1	none
Solyc05g013660	Sopen05g008550	tomato	TomatoPennelli	27127	2	none
Solyc03g113220	Sopen03g032280	tomato	TomatoPennelli	27144	1	none
Solyc05g006780	Sopen05g002720	tomato	TomatoPennelli	27158	1	none
Sopen05g003100	Solyc05g007140	TomatoPennelli	tomato	27250	1	none
Solyc07g053830	Sopen07g027800	tomato	TomatoPennelli	27255	1	none
Sopen09g031130	Solyc09g082250	TomatoPennelli	tomato	27279	*	none
Solyc05g011920	Sopen05g006660	tomato	TomatoPennelli	27328	1	none
Sopen07g032460	Solyc07g064310	TomatoPennelli	tomato	27355	1	none
Sopen06g001880	Solyc06g005890	TomatoPennelli	tomato	27356	1	none
Solyc06g068740	Sopen06g026020	tomato	TomatoPennelli	27369	1	none
Solyc07g006280	Sopen07g002370	tomato	TomatoPennelli	27373	1	none
Solyc02g061770	Sopen02g012810	tomato	TomatoPennelli	27449	2	none
Sopen10g032860	Solyc10g083360	TomatoPennelli	tomato	27451	1	none
Solyc03g114890	Sopen03g033970	tomato	TomatoPennelli	27469	2	none
Solyc10g005560	Sopen10g001540	tomato	TomatoPennelli	27525	1	none
Solyc03g115920	Sopen03g034920	tomato	TomatoPennelli	27544	2	none
Solyc04g018110	Sopen04g009340	tomato	TomatoPennelli	27550	1	none
Solyc09g010400	Sopen09g005140	tomato	TomatoPennelli	27591	1	none
Solyc03g114800	Sopen03g033880	tomato	TomatoPennelli	27620	1	none
Sopen10g025030	Solyc10g055200	TomatoPennelli	tomato	27633	1	none
Sopen06g003180	Solyc06g008330	TomatoPennelli	tomato	27643	1	none
Sopen01g051650	Solyc01g109460	TomatoPennelli	tomato	27667	1	none
Sopen09g030250	Solyc09g075460	TomatoPennelli	tomato	27669	1	none
Sopen09g006390	Solyc09g011590	TomatoPennelli	tomato	27674	1	none
Sopen09g006360	Solyc09g011590	TomatoPennelli	tomato	27674	2	none
Sopen07g029860	Solyc07g056500	TomatoPennelli	tomato	27674	2	none
Sopen09g006310	Solyc09g011540	TomatoPennelli	tomato	27674	1	none
Sopen12g023300	Solyc12g044940	TomatoPennelli	tomato	27675	1	none
Solyc12g045030	Sopen12g023390	tomato	TomatoPennelli	27675	1	none
Sopen07g031160	Solyc07g062970	TomatoPennelli	tomato	27681	1	none
Sopen07g004560	Solyc07g008620	TomatoPennelli	tomato	27707	1	none
Solyc09g005080	Sopen09g001060	tomato	TomatoPennelli	27707	1	none
Sopen03g041130	Solyc03g122350	TomatoPennelli	tomato	27713	1	none
Sopen03g041130	Solyc03g122360	TomatoPennelli	tomato	27713	1	none
Solyc03g122350	Sopen03g041130	tomato	TomatoPennelli	27713	1	none
Solyc03g122360	Sopen03g041130	tomato	TomatoPennelli	27713	1	none
Sopen03g041120	Solyc03g122350	TomatoPennelli	tomato	27713	1	none
Sopen03g041120	Solyc03g122360	TomatoPennelli	tomato	27713	1	none
Solyc09g008010	Sopen09g002810	tomato	TomatoPennelli	27716	1	none
Sopen09g002810	Solyc09g008010	TomatoPennelli	tomato	27716	1	none
Solyc01g112220	Sopen01g054270	tomato	TomatoPennelli	27717	1	none
Solyc07g049530	Sopen07g024890	tomato	TomatoPennelli	27733	2	none
Solyc07g049530	Sopen07g024880	tomato	TomatoPennelli	27733	2	none
Sopen12g002330	Solyc12g006380	TomatoPennelli	tomato	27733	2	none
Sopen10g030550	Solyc10g079930	TomatoPennelli	tomato	27756	1	none
Solyc01g107820	Sopen01g049990	tomato	TomatoPennelli	27756	1	none
Solyc11g069700	Sopen11g028580	tomato	TomatoPennelli	27763	1	none
Solyc11g069700	Sopen06g001040	tomato	TomatoPennelli	27763	1	none
Solyc11g069700	Sopen06g004650	tomato	TomatoPennelli	27763	1	none
Solyc11g069700	Sopen11g027830	tomato	TomatoPennelli	27763	1	none
