TF_ID	Gene_ID	Family
Solyc01g105230.2.1	Solyc01g105230.2	CAMTA
Solyc01g106030.2.1	Solyc01g106030.2	GATA
Solyc01g106040.2.1	Solyc01g106040.2	GATA
Solyc01g106460.2.1	Solyc01g106460.2	bHLH
Solyc01g107140.1.1	Solyc01g107140.1	bHLH
Solyc01g107190.2.1	Solyc01g107190.2	LBD
Solyc01g107950.1.1	Solyc01g107950.1	bHLH
Solyc01g107960.2.1	Solyc01g107960.2	bHLH
Solyc01g107970.1.1	Solyc01g107970.1	bHLH
Solyc01g108080.2.1	Solyc01g108080.2	bZIP
Solyc01g109240.1.1	Solyc01g109240.1	LBD
Solyc01g109700.2.1	Solyc01g109700.2	bHLH
Solyc01g109880.2.1	Solyc01g109880.2	bZIP
Solyc01g110140.2.1	Solyc01g110140.2	SRS
Solyc01g110310.2.1	Solyc01g110310.2	GATA
Solyc01g110470.2.1	Solyc01g110470.2	BBR-BPC
Solyc01g110480.2.1	Solyc01g110480.2	bZIP
Solyc01g111130.2.1	Solyc01g111130.2	bHLH
Solyc01g111580.2.1	Solyc01g111580.2	bZIP
Solyc01g112190.2.1	Solyc01g112190.2	Nin-like
Solyc01g112320.2.1	Solyc01g112320.2	FAR1
Solyc02g005290.2.1	Solyc02g005290.2	GeBP
Solyc02g014740.1.1	Solyc02g014740.1	GeBP
Solyc02g014750.1.1	Solyc02g014750.1	GeBP
Solyc02g021330.1.1	Solyc02g021330.1	NF-YC
Solyc02g021680.2.1	Solyc02g021680.2	WRKY
Solyc02g030460.2.1	Solyc02g030460.2	Trihelix
Solyc02g032180.1.1	Solyc02g032180.1	NF-YB
Solyc02g032190.1.1	Solyc02g032190.1	NF-YB
Solyc02g032950.2.1	Solyc02g032950.2	WRKY
Solyc02g036430.1.1	Solyc02g036430.1	NAC
Solyc02g061780.2.1	Solyc02g061780.2	NAC
Solyc02g061870.1.1	Solyc02g061870.1	NAC
Solyc02g061900.1.1	Solyc02g061900.1	NAC
Solyc02g061910.1.1	Solyc02g061910.1	NAC
Solyc02g061990.2.1	Solyc02g061990.2	bZIP
Solyc02g062060.1.1	Solyc02g062060.1	NAC
Solyc02g062070.1.1	Solyc02g062070.1	NAC
Solyc02g062090.1.1	Solyc02g062090.1	NAC
Solyc02g062210.1.1	Solyc02g062210.1	NAC
Solyc02g062380.1.1	Solyc02g062380.1	GATA
Solyc02g062400.2.1	Solyc02g062400.2	SRS
Solyc02g062690.2.1	Solyc02g062690.2	bHLH
Solyc02g062760.2.1	Solyc02g062760.2	GATA
Solyc02g062950.2.1	Solyc02g062950.2	bZIP
Solyc02g063010.2.1	Solyc02g063010.2	BES1
Solyc02g063430.2.1	Solyc02g063430.2	bHLH
Solyc02g065150.1.1	Solyc02g065150.1	LBD
Solyc02g065290.1.1	Solyc02g065290.1	Dof
Solyc02g065800.1.1	Solyc02g065800.1	TCP
Solyc02g067230.2.1	Solyc02g067230.2	Dof
Solyc02g067310.2.1	Solyc02g067310.2	ZF-HD
Solyc02g067320.1.1	Solyc02g067320.1	ZF-HD
Solyc02g067330.1.1	Solyc02g067330.1	ZF-HD
Solyc02g067380.2.1	Solyc02g067380.2	bHLH
Solyc02g067430.2.1	Solyc02g067430.2	WRKY
Solyc02g067800.2.1	Solyc02g067800.2	LBD
Solyc02g068200.1.1	Solyc02g068200.1	TCP
Solyc02g068550.1.1	Solyc02g068550.1	FAR1
Solyc02g069390.1.1	Solyc02g069390.1	Trihelix
Solyc02g069440.2.1	Solyc02g069440.2	LBD
Solyc02g069860.2.1	Solyc02g069860.2	NF-YA
Solyc02g069960.2.1	Solyc02g069960.2	NAC
Solyc02g070140.1.1	Solyc02g070140.1	NAC
Solyc02g070880.1.1	Solyc02g070880.1	bHLH
Solyc02g071130.2.1	Solyc02g071130.2	WRKY
Solyc02g071990.2.1	Solyc02g071990.2	BES1
Solyc02g072000.2.1	Solyc02g072000.2	HSF
Solyc02g072060.1.1	Solyc02g072060.1	HSF
Solyc02g072190.2.1	Solyc02g072190.2	WRKY
Solyc02g076810.2.1	Solyc02g076810.2	Trihelix
Solyc02g076850.1.1	Solyc02g076850.1	Dof
Solyc02g076920.2.1	Solyc02g076920.2	bHLH
Solyc02g077250.2.1	Solyc02g077250.2	TCP
Solyc02g077380.1.1	Solyc02g077380.1	LBD
Solyc02g077450.2.1	Solyc02g077450.2	VOZ
Solyc02g077610.2.1	Solyc02g077610.2	NAC
Solyc02g077920.2.1	Solyc02g077920.2	SBP
Solyc02g077950.1.1	Solyc02g077950.1	Dof
Solyc02g077960.1.1	Solyc02g077960.1	Dof
Solyc02g078130.2.1	Solyc02g078130.2	bHLH
Solyc02g078340.2.1	Solyc02g078340.2	HSF
Solyc02g078620.1.1	Solyc02g078620.1	Dof
Solyc02g079180.1.1	Solyc02g079180.1	HSF
Solyc02g079760.2.1	Solyc02g079760.2	bHLH
Solyc02g079810.1.1	Solyc02g079810.1	bHLH
Solyc02g079970.2.1	Solyc02g079970.2	bHLH
Solyc02g080890.2.1	Solyc02g080890.2	WRKY
Solyc02g081270.2.1	Solyc02g081270.2	NAC
Solyc02g083520.2.1	Solyc02g083520.2	bZIP
Solyc02g083750.1.1	Solyc02g083750.1	GeBP
Solyc02g084230.1.1	Solyc02g084230.1	BBR-BPC
Solyc02g084350.2.1	Solyc02g084350.2	NAC
Solyc02g084590.2.1	Solyc02g084590.2	GATA
Solyc02g084680.2.1	Solyc02g084680.2	SRS
Solyc02g084860.1.1	Solyc02g084860.1	bZIP
Solyc02g084880.2.1	Solyc02g084880.2	bHLH
Solyc02g085160.1.1	Solyc02g085160.1	ZF-HD
Solyc02g085190.1.1	Solyc02g085190.1	GATA
Solyc02g085340.1.1	Solyc02g085340.1	GRAS
Solyc02g085600.1.1	Solyc02g085600.1	GRAS
Solyc02g085610.2.1	Solyc02g085610.2	bZIP
Solyc02g085910.2.1	Solyc02g085910.2	LBD
Solyc02g086480.1.1	Solyc02g086480.1	LBD
Solyc02g087310.2.1	Solyc02g087310.2	E2F/DP
Solyc02g087570.1.1	Solyc02g087570.1	LBD
Solyc02g087860.2.1	Solyc02g087860.2	bHLH
Solyc02g087920.2.1	Solyc02g087920.2	NAC
Solyc02g087970.1.1	Solyc02g087970.1	ZF-HD
Solyc02g088070.2.1	Solyc02g088070.2	Dof
Solyc02g088180.2.1	Solyc02g088180.2	NAC
Solyc02g088340.2.1	Solyc02g088340.2	WRKY
Solyc02g089020.1.1	Solyc02g089020.1	TCP
Solyc02g089420.1.1	Solyc02g089420.1	bZIP
Solyc02g089830.1.1	Solyc02g089830.1	TCP
Solyc02g090220.2.1	Solyc02g090220.2	Dof
Solyc02g090310.1.1	Solyc02g090310.1	Dof
Solyc02g090410.2.1	Solyc02g090410.2	LBD
Solyc02g090820.2.1	Solyc02g090820.2	HSF
Solyc02g090950.1.1	Solyc02g090950.1	bHLH
Solyc02g091030.2.1	Solyc02g091030.2	NF-YC
Solyc02g091440.1.1	Solyc02g091440.1	bHLH
Solyc02g091690.2.1	Solyc02g091690.2	bHLH
Solyc02g091800.2.1	Solyc02g091800.2	bHLH
Solyc02g091810.1.1	Solyc02g091810.1	bHLH
Solyc02g091820.1.1	Solyc02g091820.1	bHLH
Solyc02g092090.1.1	Solyc02g092090.1	bZIP
Solyc02g092170.1.1	Solyc02g092170.1	FAR1
Solyc02g092370.1.1	Solyc02g092370.1	GRAS
Solyc02g092550.2.1	Solyc02g092550.2	LBD
Solyc02g092570.1.1	Solyc02g092570.1	GRAS
Solyc02g093050.2.1	Solyc02g093050.2	WRKY
Solyc02g093280.2.1	Solyc02g093280.2	bHLH
Solyc02g093420.2.1	Solyc02g093420.2	NAC
Solyc02g094270.1.1	Solyc02g094270.1	WRKY
Solyc02g094290.1.1	Solyc02g094290.1	TCP
Solyc02g094340.1.1	Solyc02g094340.1	GRAS
Solyc03g005350.2.1	Solyc03g005350.2	bHLH
Solyc03g005990.2.1	Solyc03g005990.2	BES1
Solyc03g006000.2.1	Solyc03g006000.2	HSF
Solyc03g006800.1.1	Solyc03g006800.1	TCP
Solyc03g006900.1.1	Solyc03g006900.1	Trihelix
Solyc03g006910.2.1	Solyc03g006910.2	bHLH
Solyc03g007380.1.1	Solyc03g007380.1	WRKY
Solyc03g007410.2.1	Solyc03g007410.2	bHLH
Solyc03g007640.1.1	Solyc03g007640.1	WRKY
Solyc03g025170.1.1	Solyc03g025170.1	GRAS
Solyc03g026020.2.1	Solyc03g026020.2	HSF
Solyc03g031450.2.1	Solyc03g031450.2	bHLH
Solyc03g033660.2.1	Solyc03g033660.2	GATA
Solyc03g033680.1.1	Solyc03g033680.1	SRS
Solyc03g033730.1.1	Solyc03g033730.1	bZIP
Solyc03g034000.2.1	Solyc03g034000.2	bHLH
Solyc03g043810.1.1	Solyc03g043810.1	bZIP
Solyc03g043820.1.1	Solyc03g043820.1	bZIP
Solyc03g043830.1.1	Solyc03g043830.1	bZIP
Solyc03g043840.1.1	Solyc03g043840.1	bZIP
Solyc03g043900.1.1	Solyc03g043900.1	bZIP
Solyc03g044460.1.1	Solyc03g044460.1	bHLH
Solyc03g044690.1.1	Solyc03g044690.1	FAR1
Solyc03g045030.1.1	Solyc03g045030.1	TCP
Solyc03g046440.1.1	Solyc03g046440.1	bZIP
Solyc03g059300.1.1	Solyc03g059300.1	NAC
Solyc03g061620.1.1	Solyc03g061620.1	ZF-HD
Solyc03g062670.1.1	Solyc03g062670.1	NAC
Solyc03g062750.1.1	Solyc03g062750.1	NAC
Solyc03g063140.2.1	Solyc03g063140.2	LBD
Solyc03g078120.2.1	Solyc03g078120.2	NAC
Solyc03g080090.2.1	Solyc03g080090.2	NAC
Solyc03g082750.1.1	Solyc03g082750.1	WRKY
Solyc03g082810.1.1	Solyc03g082810.1	WRKY
Solyc03g082840.2.1	Solyc03g082840.2	Dof
Solyc03g083040.1.1	Solyc03g083040.1	Nin-like
Solyc03g083880.2.1	Solyc03g083880.2	NAC
Solyc03g095770.2.1	Solyc03g095770.2	WRKY
Solyc03g095940.1.1	Solyc03g095940.1	LBD
Solyc03g095980.2.1	Solyc03g095980.2	bHLH
Solyc03g096630.1.1	Solyc03g096630.1	EIL
Solyc03g097120.2.1	Solyc03g097120.2	HSF
Solyc03g097650.2.1	Solyc03g097650.2	NAC
Solyc03g097820.1.1	Solyc03g097820.1	bHLH
Solyc03g098060.1.1	Solyc03g098060.1	ZF-HD
Solyc03g098190.2.1	Solyc03g098190.2	NAC
Solyc03g104810.2.1	Solyc03g104810.2	WRKY
Solyc03g110840.1.1	Solyc03g110840.1	NF-YC
Solyc03g110850.1.1	Solyc03g110850.1	NF-YC
Solyc03g110860.2.1	Solyc03g110860.2	NF-YC
Solyc03g110950.1.1	Solyc03g110950.1	GRAS
Solyc03g111260.2.1	Solyc03g111260.2	Trihelix
Solyc03g111450.1.1	Solyc03g111450.1	NF-YC
Solyc03g111460.1.1	Solyc03g111460.1	NF-YC
Solyc03g111470.1.1	Solyc03g111470.1	NF-YC
Solyc03g112430.1.1	Solyc03g112430.1	LBD
Solyc03g112930.2.1	Solyc03g112930.2	Dof
Solyc03g113110.1.1	Solyc03g113110.1	FAR1
Solyc03g113120.2.1	Solyc03g113120.2	WRKY
Solyc03g113360.2.1	Solyc03g113360.2	LBD
Solyc03g113560.2.1	Solyc03g113560.2	bHLH
Solyc03g113760.2.1	Solyc03g113760.2	E2F/DP
Solyc03g114220.1.1	Solyc03g114220.1	NAC
Solyc03g114230.1.1	Solyc03g114230.1	bHLH
Solyc03g114260.1.1	Solyc03g114260.1	NAC
Solyc03g114400.2.1	Solyc03g114400.2	NF-YB
Solyc03g114720.2.1	Solyc03g114720.2	bHLH
Solyc03g114850.2.1	Solyc03g114850.2	SBP
Solyc03g115010.1.1	Solyc03g115010.1	TCP
Solyc03g115540.1.1	Solyc03g115540.1	bHLH
Solyc03g115850.2.1	Solyc03g115850.2	NAC
Solyc03g115940.2.1	Solyc03g115940.2	Dof
Solyc03g116010.1.1	Solyc03g116010.1	Nin-like
Solyc03g116070.1.1	Solyc03g116070.1	ZF-HD
Solyc03g116320.2.1	Solyc03g116320.2	TCP
Solyc03g116890.2.1	Solyc03g116890.2	WRKY
Solyc03g117520.1.1	Solyc03g117520.1	FAR1
Solyc03g118160.1.1	Solyc03g118160.1	LFY
Solyc03g118230.1.1	Solyc03g118230.1	Trihelix
Solyc03g118310.2.1	Solyc03g118310.2	bHLH
Solyc03g118420.2.1	Solyc03g118420.2	NF-X1
Solyc03g119390.2.1	Solyc03g119390.2	bHLH
Solyc03g119530.2.1	Solyc03g119530.2	LBD
Solyc03g119770.2.1	Solyc03g119770.2	TCP
Solyc03g120530.2.1	Solyc03g120530.2	bHLH
Solyc03g120890.2.1	Solyc03g120890.2	GATA
Solyc03g121240.1.1	Solyc03g121240.1	bHLH
Solyc03g121400.1.1	Solyc03g121400.1	Dof
Solyc03g121630.2.1	Solyc03g121630.2	FAR1
Solyc03g121940.2.1	Solyc03g121940.2	NF-YA
Solyc03g122030.1.1	Solyc03g122030.1	Trihelix
Solyc03g123400.1.1	Solyc03g123400.1	GRAS
Solyc04g005130.2.1	Solyc04g005130.2	bHLH
Solyc04g005170.1.1	Solyc04g005170.1	bZIP
Solyc04g005220.1.1	Solyc04g005220.1	bHLH
Solyc04g005280.2.1	Solyc04g005280.2	bHLH
Solyc04g005610.2.1	Solyc04g005610.2	NAC
Solyc04g005660.2.1	Solyc04g005660.2	bHLH
Solyc04g006980.1.1	Solyc04g006980.1	TCP
Solyc04g006990.2.1	Solyc04g006990.2	bHLH
Solyc04g007300.2.1	Solyc04g007300.2	bHLH
Solyc04g007430.1.1	Solyc04g007430.1	bHLH
Solyc04g008380.2.1	Solyc04g008380.2	BBR-BPC
Solyc04g009180.1.1	Solyc04g009180.1	TCP
Solyc04g009440.2.1	Solyc04g009440.2	NAC
Solyc04g009520.2.1	Solyc04g009520.2	NF-YB
Solyc04g011630.1.1	Solyc04g011630.1	GRAS
Solyc04g011670.2.1	Solyc04g011670.2	bZIP
Solyc04g014260.1.1	Solyc04g014260.1	ZF-HD
Solyc04g014360.2.1	Solyc04g014360.2	bHLH
Solyc04g014830.1.1	Solyc04g014830.1	GRAS
Solyc04g015060.1.1	Solyc04g015060.1	NF-YB
Solyc04g015360.2.1	Solyc04g015360.2	GATA
Solyc04g015960.2.1	Solyc04g015960.2	NAC
Solyc04g016000.2.1	Solyc04g016000.2	HSF
Solyc04g025760.1.1	Solyc04g025760.1	NAC
Solyc04g045430.2.1	Solyc04g045430.2	Trihelix
Solyc04g045560.2.1	Solyc04g045560.2	SBP
Solyc04g049910.2.1	Solyc04g049910.2	NF-YB
Solyc04g050010.1.1	Solyc04g050010.1	LBD
Solyc04g050210.1.1	Solyc04g050210.1	WRKY
Solyc04g051540.2.1	Solyc04g051540.2	WRKY
Solyc04g051690.2.1	Solyc04g051690.2	WRKY
Solyc04g054150.1.1	Solyc04g054150.1	NF-YB
Solyc04g054320.2.1	Solyc04g054320.2	bZIP
Solyc04g054840.1.1	Solyc04g054840.1	EIL
Solyc04g056270.2.1	Solyc04g056270.2	CAMTA
Solyc04g056360.2.1	Solyc04g056360.2	WRKY
Solyc04g056460.1.1	Solyc04g056460.1	bZIP
Solyc04g064470.1.1	Solyc04g064470.1	SBP
Solyc04g064550.1.1	Solyc04g064550.1	GRAS
Solyc04g070960.1.1	Solyc04g070960.1	Dof
Solyc04g071160.2.1	Solyc04g071160.2	bZIP
Solyc04g071360.2.1	Solyc04g071360.2	Trihelix
Solyc04g071510.2.1	Solyc04g071510.2	bZIP
Solyc04g072070.2.1	Solyc04g072070.2	WRKY
Solyc04g072220.2.1	Solyc04g072220.2	NAC
Solyc04g072460.2.1	Solyc04g072460.2	bZIP
Solyc04g074810.2.1	Solyc04g074810.2	bHLH
Solyc04g074990.2.1	Solyc04g074990.2	ZF-HD
Solyc04g076240.1.1	Solyc04g076240.1	bHLH
Solyc04g076530.2.1	Solyc04g076530.2	GATA
Solyc04g077480.2.1	Solyc04g077480.2	bHLH
Solyc04g077960.1.1	Solyc04g077960.1	bHLH
Solyc04g077990.2.1	Solyc04g077990.2	LBD
Solyc04g078550.2.1	Solyc04g078550.2	WRKY
Solyc04g078670.2.1	Solyc04g078670.2	NAC
Solyc04g078690.2.1	Solyc04g078690.2	bHLH
Solyc04g078770.2.1	Solyc04g078770.2	HSF
Solyc04g078790.2.1	Solyc04g078790.2	bHLH
Solyc04g078840.2.1	Solyc04g078840.2	bZIP
Solyc04g079570.1.1	Solyc04g079570.1	Dof
Solyc04g079940.2.1	Solyc04g079940.2	NAC
Solyc04g079980.2.1	Solyc04g079980.2	BES1
Solyc04g080490.2.1	Solyc04g080490.2	ZF-HD
Solyc04g080710.2.1	Solyc04g080710.2	bHLH
Solyc04g080740.1.1	Solyc04g080740.1	bZIP
Solyc04g080970.2.1	Solyc04g080970.2	SRS
Solyc04g081170.2.1	Solyc04g081170.2	BBR-BPC
Solyc04g081190.2.1	Solyc04g081190.2	bZIP
Solyc04g081350.2.1	Solyc04g081350.2	E2F/DP
Solyc04g082480.2.1	Solyc04g082480.2	Nin-like
Solyc04g082890.2.1	Solyc04g082890.2	bZIP
Solyc05g005240.1.1	Solyc05g005240.1	YABBY
Solyc05g005300.2.1	Solyc05g005300.2	bHLH
Solyc05g005350.1.1	Solyc05g005350.1	NF-YB
Solyc05g005360.1.1	Solyc05g005360.1	NF-YB
Solyc05g005370.1.1	Solyc05g005370.1	NF-YB
Solyc05g005380.1.1	Solyc05g005380.1	NF-YB
Solyc05g005390.1.1	Solyc05g005390.1	NF-YB
Solyc05g005440.1.1	Solyc05g005440.1	NF-YB
Solyc05g006650.2.1	Solyc05g006650.2	bHLH
Solyc05g007100.2.1	Solyc05g007100.2	Whirly
Solyc05g007110.2.1	Solyc05g007110.2	WRKY
Solyc05g007210.2.1	Solyc05g007210.2	bHLH
Solyc05g007420.1.1	Solyc05g007420.1	TCP
Solyc05g007550.1.1	Solyc05g007550.1	NAC
Solyc05g007580.1.1	Solyc05g007580.1	ZF-HD
Solyc05g007770.2.1	Solyc05g007770.2	NAC
Solyc05g007880.2.1	Solyc05g007880.2	Dof
Solyc05g009220.2.1	Solyc05g009220.2	bHLH
Solyc05g009320.2.1	Solyc05g009320.2	LBD
Solyc05g009640.2.1	Solyc05g009640.2	bHLH
Solyc05g009660.2.1	Solyc05g009660.2	bZIP
Solyc05g009840.2.1	Solyc05g009840.2	NAC
Solyc05g009880.2.1	Solyc05g009880.2	bHLH
Solyc05g009900.1.1	Solyc05g009900.1	TCP
Solyc05g010610.2.1	Solyc05g010610.2	bHLH
Solyc05g010740.1.1	Solyc05g010740.1	NAC
Solyc05g011810.2.1	Solyc05g011810.2	bHLH
Solyc05g012040.2.1	Solyc05g012040.2	SBP
Solyc05g012050.2.1	Solyc05g012050.2	YABBY
Solyc05g012500.2.1	Solyc05g012500.2	WRKY
Solyc05g012770.2.1	Solyc05g012770.2	WRKY
Solyc05g012840.1.1	Solyc05g012840.1	TCP
Solyc05g014040.1.1	Solyc05g014040.1	WRKY
Solyc05g014590.2.1	Solyc05g014590.2	bHLH
Solyc05g014800.1.1	Solyc05g014800.1	NF-YC
Solyc05g014830.1.1	Solyc05g014830.1	NF-YC
Solyc05g014930.1.1	Solyc05g014930.1	FAR1
Solyc05g015330.1.1	Solyc05g015330.1	NF-YC
Solyc05g015510.2.1	Solyc05g015510.2	SBP
Solyc05g015550.1.1	Solyc05g015550.1	NF-YB
Solyc05g015650.2.1	Solyc05g015650.2	CAMTA
Solyc05g015840.2.1	Solyc05g015840.2	SBP
Solyc05g015850.2.1	Solyc05g015850.2	WRKY
Solyc05g018350.2.1	Solyc05g018350.2	Trihelix
Solyc05g018740.1.1	Solyc05g018740.1	ZF-HD
Solyc05g020000.1.1	Solyc05g020000.1	ZF-HD
Solyc05g021090.2.1	Solyc05g021090.2	NAC
Solyc05g026180.1.1	Solyc05g026180.1	NAC
Solyc05g032780.1.1	Solyc05g032780.1	TCP
Solyc05g041220.1.1	Solyc05g041220.1	SAP
Solyc05g045710.1.1	Solyc05g045710.1	WRKY
Solyc05g045800.1.1	Solyc05g045800.1	WRKY
Solyc05g045880.1.1	Solyc05g045880.1	WRKY
Solyc05g048740.2.1	Solyc05g048740.2	LBD
Solyc05g050040.1.1	Solyc05g050040.1	WRKY
Solyc05g050050.1.1	Solyc05g050050.1	WRKY
Solyc05g050060.1.1	Solyc05g050060.1	WRKY
Solyc05g050220.2.1	Solyc05g050220.2	bZIP
Solyc05g050300.1.1	Solyc05g050300.1	WRKY
Solyc05g050330.2.1	Solyc05g050330.2	WRKY
Solyc05g050340.2.1	Solyc05g050340.2	WRKY
Solyc05g050560.1.1	Solyc05g050560.1	bHLH
Solyc05g051330.1.1	Solyc05g051330.1	GeBP
Solyc05g051420.1.1	Solyc05g051420.1	ZF-HD
Solyc05g053090.1.1	Solyc05g053090.1	GRAS
Solyc05g053240.2.1	Solyc05g053240.2	SBP
Solyc05g053380.2.1	Solyc05g053380.2	WRKY
Solyc05g053420.1.1	Solyc05g053420.1	GRAS
Solyc05g053500.2.1	Solyc05g053500.2	GATA
Solyc05g053660.1.1	Solyc05g053660.1	bHLH
Solyc05g054170.2.1	Solyc05g054170.2	GRAS
Solyc05g054400.2.1	Solyc05g054400.2	GATA
Solyc05g054510.1.1	Solyc05g054510.1	Dof
Solyc05g055470.2.1	Solyc05g055470.2	NAC
Solyc05g055480.2.1	Solyc05g055480.2	NAC
Solyc05g055750.2.1	Solyc05g055750.2	WRKY
Solyc05g056120.2.1	Solyc05g056120.2	GATA
Solyc06g005090.2.1	Solyc06g005090.2	LBD
Solyc06g005130.2.1	Solyc06g005130.2	Dof
Solyc06g007390.2.1	Solyc06g007390.2	LBD
Solyc06g008030.2.1	Solyc06g008030.2	bHLH
Solyc06g008360.2.1	Solyc06g008360.2	NAC
Solyc06g008610.2.1	Solyc06g008610.2	WRKY
