Gen_a	Gen_b	Ortholog_Status	Species_with_Ortholog	Hormone	Duplicated_Ortholog
Solyc03g112700	SPI03g04501	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g010090	Capang05g000350	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g010090	SLYcer04g00637	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g010090	Capana05g000434	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g010090	PGSC0003DMP400020338\tPGSC0003DMT400029922	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc04g010090	PGSC0003DMP400020337\tPGSC0003DMT400029921	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc04g010090	PGSC0003DMP400020339\tPGSC0003DMT400029923	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc06g008330	PGSC0003DMP400044246\tPGSC0003DMT400065573	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g008330	SPI06g00305	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g008330	SLYcer06g00520	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g008330	Capang06g002770	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g008330	Sopen06g003180	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g074790	Sopen10g027280	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g074790	Capang10g000883	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g074790	SLYcer10g04980	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc10g074790	Capana10g001059	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc10g074790	PGSC0003DMP400048171\tPGSC0003DMT400071229	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc11g011380	PGSC0003DMP400023400\tPGSC0003DMT400034421	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc11g011380	SLYcer11g00661	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc05g010010	Sopen05g005820	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc05g010010	SPI05g00694	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc03g122340	Sopen03g041110	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g122340	Capang03g000098	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc03g122340	PGSC0003DMP400039701\tPGSC0003DMT400058933	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g080410	Capana01g000317	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g105710	PGSC0003DMP400056071\tPGSC0003DMT400083778	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g009750	Sopen06g004370	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g009750	SPI06g00544	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc06g009750	PGSC0003DMP400012911\tPGSC0003DMT400018802	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g009750	SLYcer06g00706	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g009750	Capana00g003274	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g009750	Capang12g001571	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g081650	SPI10g04062	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g081650	PGSC0003DMP400049062\tPGSC0003DMT400072543	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc10g081650	Capana00g004805	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g108270	PGSC0003DMP400044721\tPGSC0003DMT400066347	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g108270	Capang01g004929	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g108270	SPI01g08444	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g108270	Capana08g002386	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc08g075450	Sopen08g024080	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g008870	SPI10g00499	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g008870	Sopen10g004660	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g097970	Sopen06g028810	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g097970	SPI06g04660	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc03g097970	SLYcer03g04120	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc03g097970	Sopen03g028680	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g097970	SPI03g04183	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc03g097970	Capana03g001599	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g097970	Capang03g001547	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc03g097970	PGSC0003DMP400056204\tPGSC0003DMT400083982	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g068550	PGSC0003DMP400045713\tPGSC0003DMT400067714	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc11g068550	Sopen11g027270	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g068550	SLYcer11g03822	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g068550	SPI11g03884	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc11g068550	Capana11g000320	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g005250	PGSC0003DMP400039525\tPGSC0003DMT400058680	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g005250	Capang01g002840	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g005250	SPI01g00167	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g005250	Capana08g000095	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g005250	SLYcer01g00139	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g005250	Sopen01g001280	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc02g069090	SLYcer02g03713	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc02g069090	SPI02g02606	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc02g069090	Capana02g001274	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc02g069090	Sopen02g018190	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc02g069090	Capang02g001100	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc02g069090	PGSC0003DMP400018308\tPGSC0003DMT400026852	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc02g069090	PGSC0003DMP400018307\tPGSC0003DMT400026850	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc04g024340	SLYcer04g02794	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g024340	PGSC0003DMP400004332\tPGSC0003DMT400006269	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc02g062040	PGSC0003DMP400041285\tPGSC0003DMT400061368	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc02g062040	SPI02g01957	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc02g062040	Capana02g000544	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc02g062040	Sopen02g013000	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g024510	PGSC0003DMP400007546\tPGSC0003DMT400010840	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc12g088900	Capana12g000703	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc12g088900	Sopen12g030800	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc12g088900	Capang12g000589	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g055200	Capana12g001691	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g055200	Sopen04g025060	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g055200	SPI04g03778	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc04g055200	Capang11g000547	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc11g073200	SLYcer11g04225	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g073200	Sopen11g030830	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc11g073200	PGSC0003DMP400027278\tPGSC0003DMT400040214	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc11g073200	Capang00g000890	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc10g083360	Sopen10g032860	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc05g053040	PGSC0003DMP400047160\tPGSC0003DMT400069797	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g077530	SLYcer08g05974	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc08g077530	Capana01g000793	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc08g077530	Capang01g000716	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc08g077530	SPI08g05863	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc10g044780	Sopen10g013470	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g044780	Capang10g000778	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g044780	Capana10g001039	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc10g044780	SLYcer10g03168	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g097510	SPI01g07467	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g097510	PGSC0003DMP400033754\tPGSC0003DMT400049998	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g097510	SLYcer01g07807	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g097510	Capana08g001268	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc01g097510	Capana08g001265	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc01g097510	Capang01g003847	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc01g097510	Capang01g003850	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc01g107290	PGSC0003DMP400044603\tPGSC0003DMT400066172	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g107290	Capana08g002258	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g107290	Sopen01g049540	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g107290	SPI01g08348	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc12g098710	Sopen12g033460	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g111010	Capang11g000919	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc03g111010	SPI03g04333	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc03g111010	Sopen03g030190	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g111010	Sopen03g030190	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc03g111010	Capang03g001318	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc03g111010	SLYcer03g04274	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc03g111010	Capana00g001096	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc03g111010	SPI05g01185	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc03g111010	Capana03g001381	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc02g088390	Capang02g003070	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc02g088390	PGSC0003DMP400002601\tPGSC0003DMT400003642	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc02g088390	SLYcer02g05258	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc02g088390	SPI02g04178	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc01g107800	Capana08g002326	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g107800	Capang01g004876	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g107800	SLYcer01g08171	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g107800	SPI01g08400	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g107800	Sopen01g049970	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g107800	PGSC0003DMP400044884\tPGSC0003DMT400066571	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g065350	PGSC0003DMP400052177\tPGSC0003DMT400076991	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc08g065350	Sopen08g018910	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g084130	Capang06g000087	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc03g117250	Capang03g000470	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc04g009230	SPI04g00526	Has Ortholog	Tomatopimp	Jasmonic Acid	TRUE
Solyc04g009230	Sopen02g004390	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g009230	SLYcer02g01583	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g009230	Capana02g000307	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc04g009230	PGSC0003DMP400011903\tPGSC0003DMT400017277	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g108280	Capana08g002441	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g084390	Capana06g000056	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc06g084390	PGSC0003DMP400034751\tPGSC0003DMT400051608	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g084390	Capang06g000040	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g084390	SLYcer06g05504	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g084390	Sopen06g035780	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g007600	SLYcer10g00500	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc10g007600	PGSC0003DMP400036812\tPGSC0003DMT400054731	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc10g007600	PGSC0003DMP400036811\tPGSC0003DMT400054730	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc10g007600	Capang10g000131	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc10g007600	Sopen10g003520	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc10g007600	Capana10g000134	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g101240	Sopen01g044690	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc01g101240	Capang01g004258	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc01g101240	PGSC0003DMP400031856\tPGSC0003DMT400047088	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g101240	SLYcer01g07429	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc01g104080	SLYcer01g07240	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g104080	SPI01g08022	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g104080	Capana08g001913	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g066430	Capang01g002044	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g066430	SLYcer01g05683	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g066430	SPI01g05856	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g066430	Capana01g002369	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc12g056220	Capana01g004456	Has Ortholog	CaZL1.pep	Jasmonic Acid	TRUE
Solyc12g056220	Capang10g002159	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	TRUE
Solyc12g056220	Sopen08g003930	Has Ortholog	TomatoPennelli	Jasmonic Acid	TRUE
Solyc12g056220	SLYcer08g00527	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc12g056220	SLYcer08g06332	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc12g056220	SLYcer12g04458	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	TRUE
Solyc01g079830	Capang01g002645	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc01g079830	SPI01g06404	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g079830	PGSC0003DMP400015816\tPGSC0003DMT400023222	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g079830	SLYcer01g06109	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc11g011910	Capana12g002825	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc11g011910	PGSC0003DMP400023593\tPGSC0003DMT400034692	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc11g011910	SLYcer11g00713	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc04g050920	SLYcer04g03562	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc09g092520	Capana03g004113	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc09g092520	Sopen09g035420	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc09g092520	SPI09g04882	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc09g092520	SLYcer09g05205	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc09g092520	Capang03g003963	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g074940	PGSC0003DMP400012654\tPGSC0003DMT400018395	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc06g074940	Capang00g003866	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g074940	PGSC0003DMP400012656\tPGSC0003DMT400018397	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc06g074940	SLYcer06g05058	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g104510	Capana08g001956	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g104510	SPI01g08074	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g104510	PGSC0003DMP400041080\tPGSC0003DMT400061016	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g104510	Capang01g004518	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g084440	SLYcer06g05509	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc06g074220	Capang06g000567	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g074220	PGSC0003DMP400010431\tPGSC0003DMT400015070	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc06g074220	SLYcer06g04975	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc07g052480	SPI07g05475	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc07g052480	PGSC0003DMP400044193\tPGSC0003DMT400065512	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc07g052480	Capang00g003779	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc07g052480	Sopen07g026110	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc06g031690	Capang06g002159	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc06g031690	Capana06g002321	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g098390	SLYcer01g07717	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc01g098390	Capana08g001379	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc01g098390	Sopen01g041960	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g098390	SPI01g07553	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc08g078250	PGSC0003DMP400045537\tPGSC0003DMT400067481	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc09g074320	Capang03g003437	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc09g074320	SPI09g04058	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc09g074320	SLYcer09g04263	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc09g074320	Capana03g003528	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g082620	PGSC0003DMP400032302\tPGSC0003DMT400047690	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc03g082620	Sopen03g022380	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g082620	SPI03g03350	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc03g082620	SLYcer03g03261	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc03g082620	Capana03g001942	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc03g082620	Capang03g001845	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc03g097750	Sopen03g028510	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc03g097750	Capang03g001568	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc05g043430	SPI05g03897	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc05g043430	SLYcer05g03267	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc05g043430	Sopen05g026690	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g104220	SPI01g08035	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g104220	Capana08g001924	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc04g078920	Sopen04g032520	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc04g078920	PGSC0003DMP400014027\tPGSC0003DMT400020590	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g111980	Sopen01g054030	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc01g111980	SPI01g08805	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc01g111980	PGSC0003DMP400032501\tPGSC0003DMT400048002	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc01g028830	PGSC0003DMP400041519\tPGSC0003DMT400061698	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc01g028830	Sopen01g016890	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc05g015390	SPI05g01716	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc05g015390	SLYcer05g01259	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc05g015390	PGSC0003DMP400050689\tPGSC0003DMT400074842	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc05g015390	Capang12g001083	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc05g018130	Capana01g002133	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc05g018130	PGSC0003DMP400047696\tPGSC0003DMT400070554	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc05g018130	PGSC0003DMP400047697\tPGSC0003DMT400070555	Has Ortholog	Potato	Jasmonic Acid	TRUE
Solyc05g018130	SPI05g02247	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc05g018130	Sopen05g014790	Has Ortholog	TomatoPennelli	Jasmonic Acid	FALSE
Solyc05g018130	Capang01g001852	Has Ortholog	CaChiltepin.pep	Jasmonic Acid	FALSE
Solyc12g005150	SLYcer12g00099	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
Solyc12g005150	Capana04g000759	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc12g005150	SPI12g00145	Has Ortholog	Tomatopimp	Jasmonic Acid	FALSE
Solyc07g054490	Capana07g001670	Has Ortholog	CaZL1.pep	Jasmonic Acid	FALSE
Solyc07g054490	PGSC0003DMP400032006\tPGSC0003DMT400047292	Has Ortholog	Potato	Jasmonic Acid	FALSE
Solyc07g054490	SLYcer07g04974	Has Ortholog	TomatoCerasiforme	Jasmonic Acid	FALSE
