TF_ID	Gene_ID	Family
Sopen01g052460.1	Sopen01g052460	GATA
Sopen01g052600.1	Sopen01g052600	BBR-BPC
Sopen01g052610.1	Sopen01g052610	bZIP
Sopen01g053190.1	Sopen01g053190	bHLH
Sopen01g053190.2	Sopen01g053190	bHLH
Sopen01g053190.3	Sopen01g053190	bHLH
Sopen01g053620.1	Sopen01g053620	bZIP
Sopen01g054240.1	Sopen01g054240	Nin-like
Sopen01g054420.1	Sopen01g054420	FAR1
Sopen02g001180.1	Sopen02g001180	GeBP
Sopen02g001310.1	Sopen02g001310	GeBP
Sopen02g001870.1	Sopen02g001870	Nin-like
Sopen02g004120.1	Sopen02g004120	GeBP
Sopen02g005800.1	Sopen02g005800	NF-YC
Sopen02g006270.1	Sopen02g006270	WRKY
Sopen02g006770.1	Sopen02g006770	NF-YA
Sopen02g009780.1	Sopen02g009780	Trihelix
Sopen02g011350.1	Sopen02g011350	WRKY
Sopen02g012300.1	Sopen02g012300	NAC
Sopen02g012820.1	Sopen02g012820	NAC
Sopen02g012890.1	Sopen02g012890	NAC
Sopen02g012950.1	Sopen02g012950	bZIP
Sopen02g013010.1	Sopen02g013010	NAC
Sopen02g013020.1	Sopen02g013020	NAC
Sopen02g013030.1	Sopen02g013030	NAC
Sopen02g013040.1	Sopen02g013040	NAC
Sopen02g013380.1	Sopen02g013380	GATA
Sopen02g013400.1	Sopen02g013400	SRS
Sopen02g013710.1	Sopen02g013710	bHLH
Sopen02g013790.1	Sopen02g013790	GATA
Sopen02g013990.1	Sopen02g013990	bZIP
Sopen02g013990.2	Sopen02g013990	bZIP
Sopen02g014060.1	Sopen02g014060	BES1
Sopen02g014520.1	Sopen02g014520	bHLH
Sopen02g014600.2	Sopen02g014600	SBP
Sopen02g015280.1	Sopen02g015280	LBD
Sopen02g015430.1	Sopen02g015430	Dof
Sopen02g015800.1	Sopen02g015800	TCP
Sopen02g015800.2	Sopen02g015800	TCP
Sopen02g016040.1	Sopen02g016040	TCP
Sopen02g016410.1	Sopen02g016410	Dof
Sopen02g016460.1	Sopen02g016460	ZF-HD
Sopen02g016470.1	Sopen02g016470	ZF-HD
Sopen02g016520.1	Sopen02g016520	bHLH
Sopen02g016570.1	Sopen02g016570	WRKY
Sopen02g016910.1	Sopen02g016910	LBD
Sopen02g017300.1	Sopen02g017300	TCP
Sopen02g017690.1	Sopen02g017690	FAR1
Sopen02g017690.2	Sopen02g017690	FAR1
Sopen02g018540.1	Sopen02g018540	Trihelix
Sopen02g018580.1	Sopen02g018580	LBD
Sopen02g019020.1	Sopen02g019020	NF-YA
Sopen02g019100.1	Sopen02g019100	NAC
Sopen02g019960.1	Sopen02g019960	bHLH
Sopen02g020200.1	Sopen02g020200	WRKY
Sopen02g020970.1	Sopen02g020970	BES1
Sopen02g020980.1	Sopen02g020980	HSF
Sopen02g021170.1	Sopen02g021170	WRKY
Sopen02g021170.2	Sopen02g021170	WRKY
Sopen02g021710.1	Sopen02g021710	Trihelix
Sopen02g021750.1	Sopen02g021750	Dof
Sopen02g021850.1	Sopen02g021850	bHLH
Sopen02g022170.1	Sopen02g022170	TCP
Sopen02g022280.1	Sopen02g022280	LBD
Sopen02g022360.1	Sopen02g022360	VOZ
Sopen02g022510.1	Sopen02g022510	NAC
Sopen02g022770.1	Sopen02g022770	SBP
Sopen02g022790.1	Sopen02g022790	Dof
Sopen02g022800.1	Sopen02g022800	Dof
Sopen02g022960.1	Sopen02g022960	bHLH
Sopen02g023190.1	Sopen02g023190	HSF
Sopen02g023480.1	Sopen02g023480	Dof
Sopen02g023980.1	Sopen02g023980	HSF
Sopen02g024530.1	Sopen02g024530	bHLH
Sopen02g024580.1	Sopen02g024580	bHLH
Sopen02g024720.1	Sopen02g024720	bHLH
Sopen02g025580.1	Sopen02g025580	WRKY
Sopen02g025580.2	Sopen02g025580	WRKY
Sopen02g025910.1	Sopen02g025910	NAC
Sopen02g028310.1	Sopen02g028310	bZIP
Sopen02g028530.1	Sopen02g028530	GeBP
Sopen02g028970.1	Sopen02g028970	BBR-BPC
Sopen02g029060.1	Sopen02g029060	NAC
Sopen02g029260.1	Sopen02g029260	GATA
Sopen02g029350.1	Sopen02g029350	SRS
Sopen02g029530.1	Sopen02g029530	bZIP
Sopen02g029550.1	Sopen02g029550	bHLH
Sopen02g029860.1	Sopen02g029860	ZF-HD
Sopen02g029890.1	Sopen02g029890	GATA
Sopen02g030030.1	Sopen02g030030	GRAS
Sopen02g030270.1	Sopen02g030270	GRAS
Sopen02g030280.1	Sopen02g030280	bZIP
Sopen02g030580.1	Sopen02g030580	LBD
Sopen02g031200.1	Sopen02g031200	LBD
Sopen02g032070.1	Sopen02g032070	E2F/DP
Sopen02g032070.2	Sopen02g032070	E2F/DP
Sopen02g032580.1	Sopen02g032580	bHLH
Sopen02g032660.1	Sopen02g032660	NAC
Sopen02g032710.1	Sopen02g032710	ZF-HD
Sopen02g032780.1	Sopen02g032780	Dof
Sopen02g032870.1	Sopen02g032870	NAC
Sopen02g033030.1	Sopen02g033030	WRKY
Sopen02g033790.1	Sopen02g033790	TCP
Sopen02g034180.1	Sopen02g034180	bZIP
Sopen02g034520.1	Sopen02g034520	TCP
Sopen02g034910.1	Sopen02g034910	Dof
Sopen02g035000.1	Sopen02g035000	Dof
Sopen02g035110.1	Sopen02g035110	LBD
Sopen02g035450.1	Sopen02g035450	HSF
Sopen02g035600.1	Sopen02g035600	bHLH
Sopen02g035670.1	Sopen02g035670	NF-YC
Sopen02g035670.2	Sopen02g035670	NF-YC
Sopen02g035670.3	Sopen02g035670	NF-YC
Sopen02g035670.4	Sopen02g035670	NF-YC
Sopen02g035670.5	Sopen02g035670	NF-YC
Sopen02g035670.6	Sopen02g035670	NF-YC
Sopen02g036060.1	Sopen02g036060	bHLH
Sopen02g036300.1	Sopen02g036300	bHLH
Sopen02g036380.1	Sopen02g036380	bHLH
Sopen02g036390.1	Sopen02g036390	bHLH
Sopen02g036390.2	Sopen02g036390	bHLH
Sopen02g036400.1	Sopen02g036400	bHLH
Sopen02g036670.1	Sopen02g036670	bZIP
Sopen02g036920.1	Sopen02g036920	GRAS
Sopen02g037120.1	Sopen02g037120	LBD
Sopen02g037140.1	Sopen02g037140	GRAS
Sopen02g037620.1	Sopen02g037620	WRKY
Sopen02g037840.1	Sopen02g037840	bHLH
Sopen02g037840.2	Sopen02g037840	bHLH
Sopen02g038010.1	Sopen02g038010	NAC
Sopen02g038910.1	Sopen02g038910	WRKY
Sopen02g038930.1	Sopen02g038930	TCP
Sopen02g038990.1	Sopen02g038990	GRAS
Sopen03g001390.1	Sopen03g001390	bHLH
Sopen03g001990.1	Sopen03g001990	BES1
Sopen03g002000.1	Sopen03g002000	HSF
Sopen03g002790.1	Sopen03g002790	TCP
Sopen03g002900.1	Sopen03g002900	Trihelix
Sopen03g002910.1	Sopen03g002910	bHLH
Sopen03g003340.1	Sopen03g003340	WRKY
Sopen03g003340.2	Sopen03g003340	WRKY
Sopen03g003370.1	Sopen03g003370	bHLH
Sopen03g003580.1	Sopen03g003580	WRKY
Sopen03g004020.1	Sopen03g004020	GRAS
Sopen03g004850.1	Sopen03g004850	HSF
Sopen03g005340.1	Sopen03g005340	bHLH
Sopen03g006450.1	Sopen03g006450	GATA
Sopen03g006470.1	Sopen03g006470	SRS
Sopen03g006520.1	Sopen03g006520	bZIP
Sopen03g006760.1	Sopen03g006760	bHLH
Sopen03g007660.1	Sopen03g007660	bZIP
Sopen03g008590.1	Sopen03g008590	bHLH
Sopen03g009480.1	Sopen03g009480	TCP
Sopen03g010660.1	Sopen03g010660	bZIP
Sopen03g010770.1	Sopen03g010770	bHLH
Sopen03g012280.1	Sopen03g012280	TCP
Sopen03g012740.1	Sopen03g012740	NF-YC
Sopen03g014850.1	Sopen03g014850	ZF-HD
Sopen03g014990.1	Sopen03g014990	NAC
Sopen03g015050.1	Sopen03g015050	NAC
Sopen03g015500.1	Sopen03g015500	LBD
Sopen03g016810.1	Sopen03g016810	WRKY
Sopen03g018200.1	Sopen03g018200	ZF-HD
Sopen03g020850.1	Sopen03g020850	NAC
Sopen03g021820.1	Sopen03g021820	NAC
Sopen03g021820.2	Sopen03g021820	NAC
Sopen03g022490.1	Sopen03g022490	WRKY
Sopen03g022510.1	Sopen03g022510	WRKY
Sopen03g022550.1	Sopen03g022550	WRKY
Sopen03g022580.1	Sopen03g022580	Dof
Sopen03g023670.1	Sopen03g023670	NAC
Sopen03g025700.1	Sopen03g025700	WRKY
Sopen03g025940.1	Sopen03g025940	LBD
Sopen03g026080.1	Sopen03g026080	bHLH
Sopen03g026750.1	Sopen03g026750	EIL
Sopen03g027860.2	Sopen03g027860	HSF
Sopen03g028400.1	Sopen03g028400	NAC
Sopen03g028400.2	Sopen03g028400	NAC
Sopen03g028560.1	Sopen03g028560	bHLH
Sopen03g028760.1	Sopen03g028760	ZF-HD
Sopen03g028890.1	Sopen03g028890	NAC
Sopen03g028890.2	Sopen03g028890	NAC
Sopen03g030000.1	Sopen03g030000	NF-YC
Sopen03g030010.1	Sopen03g030010	NF-YC
Sopen03g030020.1	Sopen03g030020	NF-YC
Sopen03g030030.1	Sopen03g030030	NF-YC
Sopen03g030040.1	Sopen03g030040	NF-YC
Sopen03g030050.1	Sopen03g030050	NF-YC
Sopen03g030140.1	Sopen03g030140	GRAS
Sopen03g030390.1	Sopen03g030390	Trihelix
Sopen03g030560.1	Sopen03g030560	NF-YC
Sopen03g030580.1	Sopen03g030580	NF-YC
Sopen03g030590.1	Sopen03g030590	NF-YC
Sopen03g030600.1	Sopen03g030600	NF-YC
Sopen03g030610.1	Sopen03g030610	NF-YC
Sopen03g031510.1	Sopen03g031510	LBD
Sopen03g032010.1	Sopen03g032010	Dof
Sopen03g032060.1	Sopen03g032060	bHLH
Sopen03g032180.1	Sopen03g032180	WRKY
Sopen03g032410.1	Sopen03g032410	LBD
Sopen03g032600.1	Sopen03g032600	bHLH
Sopen03g032810.1	Sopen03g032810	E2F/DP
Sopen03g033300.1	Sopen03g033300	NAC
Sopen03g033310.1	Sopen03g033310	NAC
Sopen03g033330.1	Sopen03g033330	bHLH
Sopen03g033360.1	Sopen03g033360	NAC
Sopen03g033500.1	Sopen03g033500	NF-YB
Sopen03g033500.2	Sopen03g033500	NF-YB
Sopen03g033800.1	Sopen03g033800	bHLH
Sopen03g033800.2	Sopen03g033800	bHLH
Sopen03g033930.1	Sopen03g033930	SBP
Sopen03g034080.1	Sopen03g034080	TCP
Sopen03g034530.1	Sopen03g034530	bHLH
Sopen03g034840.1	Sopen03g034840	NAC
Sopen03g034940.1	Sopen03g034940	Dof
Sopen03g035000.1	Sopen03g035000	Nin-like
Sopen03g035060.1	Sopen03g035060	ZF-HD
Sopen03g035250.1	Sopen03g035250	TCP
Sopen03g035820.1	Sopen03g035820	WRKY
Sopen03g036420.1	Sopen03g036420	FAR1
Sopen03g037080.1	Sopen03g037080	LFY
Sopen03g037080.2	Sopen03g037080	LFY
Sopen03g037140.1	Sopen03g037140	Trihelix
Sopen03g037210.1	Sopen03g037210	bHLH
Sopen03g037310.1	Sopen03g037310	NF-X1
Sopen03g038360.1	Sopen03g038360	LBD
Sopen03g038620.1	Sopen03g038620	TCP
Sopen03g039720.1	Sopen03g039720	GATA
Sopen03g040050.1	Sopen03g040050	bHLH
Sopen03g040210.1	Sopen03g040210	Dof
Sopen03g040440.1	Sopen03g040440	FAR1
Sopen03g040760.1	Sopen03g040760	NF-YA
Sopen03g040830.1	Sopen03g040830	Trihelix
Sopen03g041180.1	Sopen03g041180	GRAS
Sopen04g001150.1	Sopen04g001150	bHLH
Sopen04g001150.2	Sopen04g001150	bHLH
Sopen04g001180.1	Sopen04g001180	bZIP
Sopen04g001200.1	Sopen04g001200	bHLH
Sopen04g001260.1	Sopen04g001260	bHLH
Sopen04g001650.1	Sopen04g001650	NAC
Sopen04g001710.1	Sopen04g001710	bHLH
Sopen04g002040.1	Sopen04g002040	TCP
Sopen04g002080.1	Sopen04g002080	bHLH
Sopen04g002360.1	Sopen04g002360	bHLH
Sopen04g002500.1	Sopen04g002500	bHLH
Sopen04g003530.1	Sopen04g003530	BBR-BPC
Sopen04g004310.1	Sopen04g004310	TCP
Sopen04g004310.2	Sopen04g004310	TCP
Sopen04g004570.1	Sopen04g004570	NAC
Sopen04g004680.1	Sopen04g004680	NF-YB
Sopen04g005810.1	Sopen04g005810	GRAS
Sopen04g005840.1	Sopen04g005840	bZIP
Sopen04g006370.1	Sopen04g006370	ZF-HD
Sopen04g006480.1	Sopen04g006480	bHLH
Sopen04g006960.1	Sopen04g006960	GRAS
Sopen04g007080.1	Sopen04g007080	NF-YB
Sopen04g007430.1	Sopen04g007430	GATA
Sopen04g007970.1	Sopen04g007970	NAC
Sopen04g008020.1	Sopen04g008020	HSF
Sopen04g017180.1	Sopen04g017180	TCP
Sopen04g017230.1	Sopen04g017230	Trihelix
Sopen04g017230.2	Sopen04g017230	Trihelix
Sopen04g017460.1	Sopen04g017460	SBP
Sopen04g020450.1	Sopen04g020450	NF-YB
Sopen04g020660.1	Sopen04g020660	LBD
Sopen04g022900.1	Sopen04g022900	WRKY
Sopen04g023070.1	Sopen04g023070	WRKY
Sopen04g023610.1	Sopen04g023610	NF-YB
Sopen04g023900.1	Sopen04g023900	bZIP
Sopen04g024640.1	Sopen04g024640	EIL
Sopen04g025150.1	Sopen04g025150	CAMTA
Sopen04g025150.2	Sopen04g025150	CAMTA
Sopen04g025260.1	Sopen04g025260	WRKY
Sopen04g025360.1	Sopen04g025360	bZIP
Sopen04g025410.1	Sopen04g025410	bZIP
Sopen04g025470.1	Sopen04g025470	bHLH
Sopen04g026500.1	Sopen04g026500	GRAS
Sopen04g026890.1	Sopen04g026890	Dof
Sopen04g027110.1	Sopen04g027110	bZIP
Sopen04g027330.1	Sopen04g027330	Trihelix
Sopen04g027480.1	Sopen04g027480	bZIP
Sopen04g028020.1	Sopen04g028020	NAC
Sopen04g028190.1	Sopen04g028190	NAC
Sopen04g028210.1	Sopen04g028210	NAC
Sopen04g028240.1	Sopen04g028240	WRKY
Sopen04g028280.1	Sopen04g028280	NAC
Sopen04g028400.1	Sopen04g028400	NAC
Sopen04g028640.1	Sopen04g028640	bZIP
Sopen04g029590.1	Sopen04g029590	GeBP
Sopen04g029770.1	Sopen04g029770	bHLH
Sopen04g030260.1	Sopen04g030260	GATA
Sopen04g030550.1	Sopen04g030550	bHLH
Sopen04g031080.1	Sopen04g031080	bHLH
Sopen04g031190.1	Sopen04g031190	bZIP
Sopen04g031550.1	Sopen04g031550	bHLH
Sopen04g031590.1	Sopen04g031590	LBD
Sopen04g032150.1	Sopen04g032150	WRKY
Sopen04g032270.1	Sopen04g032270	NAC
Sopen04g032290.1	Sopen04g032290	bHLH
Sopen04g032370.1	Sopen04g032370	HSF
Sopen04g032390.1	Sopen04g032390	bHLH
Sopen04g032440.1	Sopen04g032440	bZIP
Sopen04g033150.1	Sopen04g033150	Dof
Sopen04g033520.1	Sopen04g033520	NAC
Sopen04g033560.1	Sopen04g033560	BES1
Sopen04g034080.1	Sopen04g034080	ZF-HD
Sopen04g034300.1	Sopen04g034300	bHLH
Sopen04g034330.1	Sopen04g034330	bZIP
Sopen04g034580.1	Sopen04g034580	SRS
Sopen04g034790.1	Sopen04g034790	BBR-BPC
Sopen04g034790.2	Sopen04g034790	BBR-BPC
Sopen04g034800.1	Sopen04g034800	bZIP
Sopen04g034970.1	Sopen04g034970	E2F/DP
Sopen04g036100.1	Sopen04g036100	Nin-like
Sopen04g036490.1	Sopen04g036490	FAR1
Sopen04g036530.1	Sopen04g036530	bZIP
Sopen05g001250.1	Sopen05g001250	YABBY
Sopen05g001310.1	Sopen05g001310	bHLH
Sopen05g001360.1	Sopen05g001360	NF-YB
Sopen05g001380.1	Sopen05g001380	NF-YB
Sopen05g001390.1	Sopen05g001390	NF-YB
Sopen05g001410.1	Sopen05g001410	NF-YB
Sopen05g001420.1	Sopen05g001420	NF-YB
Sopen05g001430.1	Sopen05g001430	NF-YB
Sopen05g001440.1	Sopen05g001440	NF-YB
Sopen05g001460.1	Sopen05g001460	NF-YB
Sopen05g002590.1	Sopen05g002590	bHLH
Sopen05g003070.1	Sopen05g003070	Whirly
Sopen05g003170.1	Sopen05g003170	bHLH
Sopen05g003300.1	Sopen05g003300	TCP
Sopen05g003440.1	Sopen05g003440	NAC
Sopen05g003470.1	Sopen05g003470	ZF-HD
Sopen05g003630.1	Sopen05g003630	NAC
Sopen05g003730.1	Sopen05g003730	Dof
Sopen05g004940.1	Sopen05g004940	bHLH
Sopen05g005070.1	Sopen05g005070	LBD
Sopen05g005450.1	Sopen05g005450	bHLH
Sopen05g005470.1	Sopen05g005470	bZIP
Sopen05g005650.1	Sopen05g005650	NAC
Sopen05g005680.1	Sopen05g005680	bHLH
Sopen05g005700.1	Sopen05g005700	TCP
Sopen05g006290.1	Sopen05g006290	bZIP
Sopen05g006420.1	Sopen05g006420	bHLH
Sopen05g006570.1	Sopen05g006570	bHLH
Sopen05g006830.1	Sopen05g006830	SBP
Sopen05g006840.1	Sopen05g006840	YABBY
Sopen05g007320.1	Sopen05g007320	WRKY
Sopen05g007580.1	Sopen05g007580	WRKY
Sopen05g009000.1	Sopen05g009000	WRKY
Sopen05g009020.1	Sopen05g009020	WRKY
Sopen05g009670.1	Sopen05g009670	bHLH
Sopen05g009970.1	Sopen05g009970	NF-YC
Sopen05g009980.1	Sopen05g009980	NF-YC
Sopen05g009990.1	Sopen05g009990	NF-YC
Sopen05g010000.1	Sopen05g010000	NF-YC
Sopen05g010600.1	Sopen05g010600	NF-YC
Sopen05g010900.1	Sopen05g010900	SBP
Sopen05g011010.1	Sopen05g011010	NF-YB
Sopen05g011110.1	Sopen05g011110	CAMTA
Sopen05g011450.1	Sopen05g011450	SBP
Sopen05g011470.1	Sopen05g011470	WRKY
Sopen05g015160.1	Sopen05g015160	Trihelix
Sopen05g016700.1	Sopen05g016700	ZF-HD
Sopen05g017290.1	Sopen05g017290	NAC
Sopen05g022420.1	Sopen05g022420	NAC
Sopen05g025200.1	Sopen05g025200	SAP
Sopen05g026760.1	Sopen05g026760	NF-YC
Sopen05g027030.1	Sopen05g027030	WRKY
Sopen05g027060.1	Sopen05g027060	WRKY
Sopen05g027080.1	Sopen05g027080	WRKY
Sopen05g028040.1	Sopen05g028040	LBD
Sopen05g028660.1	Sopen05g028660	bZIP
Sopen05g028660.2	Sopen05g028660	bZIP
Sopen05g028730.1	Sopen05g028730	WRKY
Sopen05g028740.1	Sopen05g028740	WRKY
Sopen05g028990.1	Sopen05g028990	bHLH
Sopen05g029720.1	Sopen05g029720	GeBP
Sopen05g030400.1	Sopen05g030400	EIL
Sopen05g031600.1	Sopen05g031600	GRAS
Sopen05g031750.1	Sopen05g031750	SBP
Sopen05g031890.1	Sopen05g031890	WRKY
Sopen05g032000.1	Sopen05g032000	GATA
Sopen05g032160.1	Sopen05g032160	bHLH
Sopen05g032650.1	Sopen05g032650	GRAS
Sopen05g032880.1	Sopen05g032880	GATA
Sopen05g032880.2	Sopen05g032880	GATA
Sopen05g032990.1	Sopen05g032990	Dof
Sopen05g033920.1	Sopen05g033920	NAC
Sopen05g033930.1	Sopen05g033930	NAC
Sopen05g034160.1	Sopen05g034160	WRKY
Sopen05g034530.1	Sopen05g034530	GATA
Sopen05g034870.1	Sopen05g034870	NAC
Sopen06g001080.1	Sopen06g001080	LBD
Sopen06g001120.1	Sopen06g001120	Dof
Sopen06g002330.1	Sopen06g002330	LBD
Sopen06g002870.1	Sopen06g002870	bHLH
Sopen06g002870.2	Sopen06g002870	bHLH
Sopen06g002870.3	Sopen06g002870	bHLH
Sopen06g003210.1	Sopen06g003210	NAC
Sopen06g003380.1	Sopen06g003380	WRKY
Sopen06g003800.1	Sopen06g003800	NF-YB
Sopen06g004240.1	Sopen06g004240	GRAS
Sopen06g004280.1	Sopen06g004280	bZIP
Sopen06g007140.1	Sopen06g007140	NF-YC
Sopen06g007580.1	Sopen06g007580	TCP
Sopen06g011000.1	Sopen06g011000	NAC
Sopen06g011230.1	Sopen06g011230	bHLH
Sopen06g011390.1	Sopen06g011390	GRAS
Sopen06g011390.2	Sopen06g011390	GRAS
Sopen06g011970.1	Sopen06g011970	GRAS
Sopen06g014840.1	Sopen06g014840	bZIP
Sopen06g015190.1	Sopen06g015190	WRKY
Sopen06g015880.1	Sopen06g015880	LBD
Sopen06g016530.1	Sopen06g016530	bHLH
Sopen06g016740.1	Sopen06g016740	LBD
Sopen06g016930.1	Sopen06g016930	Trihelix
Sopen06g017200.1	Sopen06g017200	bHLH
Sopen06g017530.1	Sopen06g017530	bHLH
Sopen06g017550.1	Sopen06g017550	NF-X1
Sopen06g018410.1	Sopen06g018410	bZIP
Sopen06g020350.1	Sopen06g020350	NAC
Sopen06g020610.1	Sopen06g020610	bZIP
Sopen06g021080.1	Sopen06g021080	GATA
Sopen06g021280.1	Sopen06g021280	NAC
Sopen06g021620.1	Sopen06g021620	WRKY
Sopen06g021950.1	Sopen06g021950	bHLH
Sopen06g022000.1	Sopen06g022000	Dof
Sopen06g022110.1	Sopen06g022110	LBD
Sopen06g022850.1	Sopen06g022850	NAC
Sopen06g022890.1	Sopen06g022890	NAC
Sopen06g023060.1	Sopen06g023060	bHLH
